card_id,company,card_name,origin_event_code,event_title,event_link,start_date,end_date,event_type,section,event_content,updated_at
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,기간 내 현대카드 홈페이지 및 앱에서 대상 카드 신규 발급 후 조건 충족 시 발급 첫해 연회비 캐시백,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,현대카드 최초 발급 및 재가입(탈회 후 1년 초과하여 발급) 회원,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,마케팅 수신 동의,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,STEP1 : 현대카드 홈페이지 및 앱에서 카드 신청,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,STEP2 : 마케팅 수신 동의,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,혜택,STEP3 : 발급 다음 달부터 3개월 이내 캐시백 제공(결제 계좌 입금),2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,기간,2026. 4. 1 ~ 4. 30(카드 신청일 기준),2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,대상 카드,현대카드M,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,신청 방법,홈페이지 > 카드 > 카드 신청,2026-04-22 01:56:00
ME4,현대카드,현대카드M,EA7539,현대카드M 신규 회원 연회비 캐시백 이벤트,https://www.hyundaicard.com/cpb/ev/CPBEV0101_06.hc?bnftWebEvntCd=EA7539,2026-04-01,2026-04-30,캐시백,신청 방법,앱 > 메뉴(좌측 상단) > 카드 신청,2026-04-22 01:56:00
